"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"PDE3B","PDE3B",0,0,2.469900754652,"0"
"ACACB","ACACB",0,0,2.42084309523868,"0"
"AQP7","AQP7",0,0,2.3096844062461,"0"
"AL136119.1","AL136119.1",0,0,2.22675711478488,"0"
"PRKAR2B","PRKAR2B",0,0,2.19036076469593,"0"
"GPAM","GPAM",0,0,2.17956491489904,"0"
"PLIN4","PLIN4",0,0,2.11727388220891,"0"
"SIK2","SIK2",0,0,2.1151003976347,"0"
"KCNIP2","KCNIP2",0,0,2.07313492850978,"0"
"DMD","DMD",0,0,2.06131862218323,"0"
"TMEM132C","TMEM132C",0,0,2.04593813823026,"0"
"PNPLA2","PNPLA2",0,0,2.0168364048593,"0"
"SLC19A3","SLC19A3",0,0,2.01046964632423,"0"
"DIRC3","DIRC3",0,0,1.96626715351734,"0"
"GPD1","GPD1",0,0,1.95766038048542,"0"
"PLIN5","PLIN5",0,0,1.95570749623558,"0"
"SORBS1","SORBS1",0,0,1.93730227456962,"0"
"PLIN1","PLIN1",0,0,1.90528147020842,"0"
"CIDEA","CIDEA",0,0,1.88142687534132,"0"
"LINC00598","LINC00598",0,0,1.87331061262575,"0"
"LPL","LPL",0,0,1.87001012127574,"0"
"PC","PC",0,0,1.85231735068312,"0"
"TMEM164","TMEM164",0,0,1.84811871642624,"0"
"OGA","OGA",0,0,1.84517074342463,"0"
"ACSL1","ACSL1",0,0,1.81269000158148,"0"
"TENM3","TENM3",0,0,1.80948504872538,"0"
"GHR","GHR",0,0,1.80504198040082,"0"
"GYG2","GYG2",0,0,1.78593315094641,"0"
"PLAAT3","PLAAT3",0,0,1.78350197355342,"0"
"PFKFB3","PFKFB3",0,0,1.77960808895397,"0"
"ADIPOQ","ADIPOQ",0,0,1.75460330260865,"0"
"AUXG01000058.1","AUXG01000058.1",0,0,1.74279244822416,"0"
"PECR","PECR",0,0,1.73519933344999,"0"
"PTGER3","PTGER3",0,0,1.72078726200118,"0"
"TNS1","TNS1",0,0,1.72013125141106,"0"
"MAOA","MAOA",0,0,1.71759518745528,"0"
"VKORC1L1","VKORC1L1",0,0,1.70298040130195,"0"
"LIPE","LIPE",0,0,1.70163685978596,"0"
"BCL2","BCL2",0,0,1.6984053684296,"0"
"SOX5","SOX5",0,0,1.68150235533097,"0"
"LVRN","LVRN",0,0,1.68073728711827,"0"
