"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"SDK11","SDK1",0,0,3.21102872674967,"6"
"KCNB2","KCNB2",0,0,2.97706753810591,"6"
"FBN11","FBN1",0,0,2.95411672800895,"6"
"MEG81","MEG8",0,0,2.84854012259474,"6"
"MEG31","MEG3",0,0,2.75862934272694,"6"
"CNTN41","CNTN4",0,0,2.74322175931846,"6"
"CREB51","CREB5",0,0,2.67924755492477,"6"
"ADAMTS16","ADAMTS16",0,0,2.66935540137859,"6"
"MFAP5","MFAP5",0,0,2.64292052843152,"6"
"ITGA111","ITGA11",0,0,2.36309402577048,"6"
"PXDNL","PXDNL",0,0,2.28906043359029,"6"
"GALNT17","GALNT17",0,0,2.2327608458133,"6"
"GRK52","GRK5",0,0,2.22384867592648,"6"
"FHOD3","FHOD3",0,0,2.2129210972204,"6"
"STK32B","STK32B",0,0,2.10126614920028,"6"
"TNXB1","TNXB",0,0,2.01979233951915,"6"
"SCARA51","SCARA5",0,0,1.97473559459195,"6"
"SLC7A14-AS1","SLC7A14-AS1",0,0,1.94538642609938,"6"
"DCLK11","DCLK1",0,0,1.81903805556639,"6"
"HUNK","HUNK",0,0,1.79366538846567,"6"
"COL1A21","COL1A2",0,0,1.68708606322856,"6"
"AC124254.2","AC124254.2",0,0,1.6652801767706,"6"
"GUCY1A2","GUCY1A2",0,0,1.5671792512495,"6"
"LSP11","LSP1",0,0,1.48712707091047,"6"
"SPSB4","SPSB4",0,0,1.29777677611312,"6"
"DACT2","DACT2",0,0,1.247277070125,"6"
"LMX1A","LMX1A",0,0,1.07620037187994,"6"
"C17orf58","C17orf58",0,0,1.00111761527492,"6"
"HMCN2","HMCN2",1.10612792366788e-303,3.42424021329867e-299,1.46444402685384,"6"
"HTRA3","HTRA3",8.50635469966413e-301,2.63331222437502e-296,1.49925295265065,"6"
"AXL1","AXL",2.10041756392861e-294,6.50226265265379e-290,1.76716421320124,"6"
"FSTL11","FSTL1",2.75544625875153e-274,8.5300349832171e-270,1.78757738339084,"6"
"PTGIS2","PTGIS",1.66542271950258e-273,5.15564911276412e-269,1.89611769880869,"6"
"LINC02802","LINC02802",3.94038324561938e-267,1.21982444134639e-262,0.944550807923061,"6"
"PAMR1","PAMR1",7.50388298508493e-261,2.32297705569274e-256,1.15737390574259,"6"
"GAS72","GAS7",1.01203459457882e-260,3.13295549443765e-256,1.91316367391064,"6"
"CYP1B1-AS11","CYP1B1-AS1",7.79202760329997e-259,2.41217798515357e-254,1.72427751727883,"6"
"DOCK42","DOCK4",3.44945515918443e-258,1.06784783362872e-253,1.73695412964774,"6"
"PDE1C","PDE1C",7.90275947257162e-258,2.446457249924e-253,1.30546155043012,"6"
"TRERF12","TRERF1",1.06762899856643e-257,3.30505909086209e-253,1.5789338897422,"6"
"SMURF2","SMURF2",9.8295520549644e-257,3.04293442965533e-252,2.12450653943356,"6"
"PCSK61","PCSK6",6.33287975112648e-255,1.96046958455622e-250,1.99251513928498,"6"
"KLHL13","KLHL13",2.97240305797843e-246,9.20166814658382e-242,1.60754249129186,"6"
"GFPT22","GFPT2",1.00639123334684e-244,3.1154853410718e-240,1.70657282743458,"6"
"NEGR11","NEGR1",1.84116061137637e-244,5.69968090463784e-240,1.53255604652064,"6"
