"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"AL357507.1","AL357507.1",0,0,3.55207147654485,"7"
"LINC02147","LINC02147",0,0,3.2495600088047,"7"
"STOX2.5","STOX2",0,0,3.24232189803327,"7"
"NRG3","NRG3",0,0,3.21262324742512,"7"
"NFATC1.5","NFATC1",0,0,3.17168128182369,"7"
"MPP7.4","MPP7",0,0,3.10040645754387,"7"
"ELK3.1","ELK3",0,0,3.02418601573485,"7"
"PROX1","PROX1",0,0,2.99558494532945,"7"
"KALRN.6","KALRN",0,0,2.87862509825644,"7"
"RELN","RELN",0,0,2.868471266198,"7"
"PTPRE.4","PTPRE",0,0,2.85654877769247,"7"
"STAB2","STAB2",0,0,2.81031857236984,"7"
"NXN.5","NXN",0,0,2.76733571784942,"7"
"ITGA9.4","ITGA9",0,0,2.74299192886771,"7"
"PARD6G","PARD6G",0,0,2.7021699000929,"7"
"TSPAN5.1","TSPAN5",0,0,2.67836534479428,"7"
"PPFIBP1.3","PPFIBP1",0,0,2.65482455376304,"7"
"VAV3.1","VAV3",0,0,2.63096356117767,"7"
"RHOJ.1","RHOJ",0,0,2.60162497721242,"7"
"CHST15.2","CHST15",0,0,2.59977720818093,"7"
"TSPEAR","TSPEAR",0,0,2.57937359113434,"7"
"PGM5.1","PGM5",0,0,2.57315260380963,"7"
"DOCK5.5","DOCK5",0,0,2.5520743205505,"7"
"STON2.2","STON2",0,0,2.5056051256594,"7"
"ZDHHC14.2","ZDHHC14",0,0,2.48978323477771,"7"
"FLT4","FLT4",0,0,2.48812543157225,"7"
"PALD1","PALD1",0,0,2.46358667998623,"7"
"RASGRP3.1","RASGRP3",0,0,2.44869428879466,"7"
"TFPI.2","TFPI",0,0,2.40611829817705,"7"
"RPS6KA2.4","RPS6KA2",0,0,2.36172247700233,"7"
"KIAA1671.5","KIAA1671",0,0,2.31127872192045,"7"
"MMRN1","MMRN1",0,0,2.30784167474189,"7"
"TSPAN18.2","TSPAN18",0,0,2.30740338604043,"7"
"GPM6A.1","GPM6A",0,0,2.30679261349659,"7"
"OSBP2.1","OSBP2",0,0,2.25366714473557,"7"
"NRP2.1","NRP2",0,0,2.23411701021138,"7"
"KCNIP1","KCNIP1",0,0,2.15842844179245,"7"
"SEMA6A.1","SEMA6A",0,0,2.15064976169867,"7"
"KLHL4","KLHL4",0,0,2.10677576083936,"7"
"AFAP1L1.1","AFAP1L1",0,0,2.09609197419928,"7"
"ABCG1.1","ABCG1",0,0,2.03636212967965,"7"
"CCL21","CCL21",0,0,2.01167981630747,"7"
"TBX1","TBX1",0,0,2.00681228950699,"7"
"PRKAR1B","PRKAR1B",0,0,1.97403091126324,"7"
"DYSF.1","DYSF",0,0,1.95669401773561,"7"
"CELSR1.1","CELSR1",0,0,1.88322567339538,"7"
"KIF26B","KIF26B",0,0,1.8504785892184,"7"
"UNC5B","UNC5B",0,0,1.80780362372682,"7"
"PRKCZ","PRKCZ",0,0,1.78550582866907,"7"
"SV2B","SV2B",0,0,1.67759541737377,"7"
"COL23A1","COL23A1",0,0,1.67732492749647,"7"
"TNFAIP8L3","TNFAIP8L3",0,0,1.62634783335104,"7"
"FAM189A2","FAM189A2",0,0,1.51296564121587,"7"
"PROX1-AS1","PROX1-AS1",0,0,1.49747552534694,"7"
"TMEM255B.1","TMEM255B",0,0,1.47352438312511,"7"
"HOXD3","HOXD3",0,0,1.45642876701343,"7"
"ZNF831","ZNF831",0,0,1.43887794395675,"7"
"LINC01197","LINC01197",0,0,1.37500982832003,"7"
"AL589645.1","AL589645.1",0,0,1.32574495026988,"7"
"APBA2","APBA2",0,0,1.27479067065695,"7"
