"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"COL25A1","COL25A1",0,0,4.27543360037712,"8"
"MYO1B.1","MYO1B",0,0,3.04367562437083,"8"
"GUCY1A2.1","GUCY1A2",0,0,2.61206896236044,"8"
"PDGFRB.2","PDGFRB",0,0,2.57798460644252,"8"
"ENPEP","ENPEP",0,0,2.49540934212164,"8"
"NOTCH3","NOTCH3",0,0,2.45426829022464,"8"
"IL1RAPL1","IL1RAPL1",0,0,2.44050248702058,"8"
"LINC00989","LINC00989",0,0,2.41422209740892,"8"
"STEAP4","STEAP4",0,0,2.38495193030648,"8"
"POSTN","POSTN",0,0,2.36657751052168,"8"
"GJC1","GJC1",0,0,2.19752346229553,"8"
"DPY19L2","DPY19L2",0,0,2.10738602350084,"8"
"EGFLAM","EGFLAM",0,0,1.76665201020995,"8"
"TRPC6","TRPC6",0,0,1.7623361326212,"8"
"ANO1","ANO1",0,0,1.69684941497693,"8"
"VIPR1","VIPR1",0,0,1.53840557750521,"8"
"TBX2","TBX2",0,0,1.46916725619244,"8"
"TNN","TNN",0,0,1.2088028453422,"8"
"FRMD3.1","FRMD3",3.58245137200822e-262,1.10901947123259e-257,2.70197281191031,"8"
"GUCY1A1","GUCY1A1",5.49432255284221e-256,1.70087743268336e-251,1.65770644724866,"8"
"EPHA3","EPHA3",2.53807630334339e-230,7.85712281226014e-226,1.70629663427875,"8"
"EDNRA","EDNRA",4.08697008284373e-229,1.26520332854593e-224,1.43579241937789,"8"
"AC012409.2","AC012409.2",2.94195969935524e-216,9.10742464129402e-212,1.5957138124171,"8"
"ADAMTS4","ADAMTS4",6.59494453669019e-216,2.04159698022318e-211,1.2776773941225,"8"
"THSD7B.1","THSD7B",3.35754400514383e-211,1.03939489767238e-206,2.28315795274259,"8"
"RGS6.7","RGS6",5.960389265218e-210,1.84515770483354e-205,2.78734627617086,"8"
"GUCY1B1","GUCY1B1",1.07910361094976e-207,3.34058104841716e-203,1.20953997954088,"8"
"ABCC9","ABCC9",5.21451039183157e-206,1.6142559819993e-201,2.3373649523571,"8"
"NCKAP5","NCKAP5",1.91960199251972e-205,5.94251188824328e-201,2.61312425588894,"8"
"CACNA1C.4","CACNA1C",5.30829615684758e-205,1.6432892412753e-200,2.08288694911467,"8"
